Deal,Description,Savings,Price (in Rs.)
Hot & Crispy Combo,"2pc Chicken, Wings, Dips, Pepsi",Rs. 75 off,299
Signature Bucket,"4pc Chicken, Wings, Strips, Dips, Pepsi",35% off,599
Special 11 Meal,"Chicken Legs, Peri Strips, Wings",Rs. 164 off,435
Hitter Savings,"Chicken Legs, Wings",Rs. 132 off,349
Classic Zinger Combo,"Zinger Burger, Fries, Pepsi",Rs. 26 off,199
Sixer Savings,"Chicken Legs, Peri Strips",Rs. 249 off,499
Super Savings,"Chicken Rolls, Wings, Pepsi",Rs. 75 off,299
Veg Lovers Meal,"Veg Burgers, Longers, Fries, Pepsi",Rs. 252 off,399
Leg Piece Deal,"Chicken Legs, Pepsi",Rs. 308 off,399
New Chicken Longer,"Longer Burgers, Strips, Pepsi",40% off,179
New Single Chicken Rolls,"Chicken Rolls, Strips, Pepsi",44% off,149
New Rizo Rice Bowlz,"Rice Bowlz, Strips, Pepsi",31% off,199
Family Deal,"Chicken Zingers, Popcorn, Fries, Pepsi",-,699
Classic Zinger,"Chicken Fillet, Cheese, Veggies, Mayo",-,199
Caribbean Spicy Zinger,"Spicy Burger, Popcorn, Pepsi",-,199
Veg Zinger Lovers,"Veg Burger, Patties, Pepsi",-,199
Tandoori Zinger Deal,"Tandoori Burger, Wings, Patty, Pepsi",-,199
"Leg, Wings, Strips Combo","Chicken Leg, Wings, Strips, Pepsi",-,399
Popcorn Rice Bowlz Deal,"Popcorn Rice Bowlz, Wings, Pepsi",Rs. 118 off,299
Smoky Red Chicken,Grilled Chicken,-,199
Chicken Popcorn Pack,"Popcorn Chicken, Chili Lime",-,99
Veg Roll Meal,"Veg Rolls, Fries, Pepsi",-,199
Chicken Roll Combo,"Chicken Rolls, Fries, Pepsi",-,199
Dessert Special,"Chocolate Cake, Mousse Cake",-,99
Add-Ons,"Dips, Pepsi, 7UP, Mirinda",-,Varies
